username,name,email,password,phone,country,avatar_img_url,created_at,favourite_beers,favourite_categories,favourite_tags,reviews,following,followers,preferences
bigdog512,Lily Sims,"lily.sims@example.com
",sanity,(427) 858-6221,United States,https://randomuser.me/api/portraits/women/71.jpg,1731371888,,,,,,,
bitter_black,Salma Melgar,salma.melgar@example.com,flight,(684) 903 0788,Mexico,https://randomuser.me/api/portraits/women/42.jpg,1653475436,,,,,,,
bluepilsner,Niklas,"niklas.eichmann@example.com
",medusa,0076-2954109,Germany,https://randomuser.me/api/portraits/men/43.jpg,1633698721,,,,,,,
yellowhops616,Ramón Cuellar,,,,Mexico,https://randomuser.me/api/portraits/men/66.jpg,1713211468,,,,,,,
blueale527,Aloisia,aloisia.euler@example.com,villa,0833-5867059,Germany,https://randomuser.me/api/portraits/women/53.jpg,1680426482,,,,,,,
crazyostrich422,Elouan Da Silva,"elouan.dasilva@example.com
",forum,,France,https://randomuser.me/api/portraits/men/69.jpg,1694537305,,,,,,,
goldengoose43,golden goose,"jadira.melo@example.com
",rangers,,Brazil,"https://randomuser.me/api/portraits/women/0.jpg
",1681680065,,,,,,,
heavybear,Samu Ollila,"samu.ollila@example.com
",ghetto,04-890-172,Finland,https://randomuser.me/api/portraits/men/54.jpg,1609851363,,,,,,,
craftking9,Josif Anđelić,"josif.andelic@example.com
",toronto,010-3054-276,Serbia,,1713211468,,,,,,,
porter295,Alyssia Den Toom,"alyssia.dentoom@example.com
",slayer,,Netherlands,https://randomuser.me/api/portraits/women/65.jpg,1618106685,,,,,,,
purpletiger691,Elias Nielsen,"elias.nielsen@example.com
",tester,21186574,Denmark,,1672098985,,,,,,,
whitebrew338,maria,"maria.jensen@example.com
",breanna,,Denmark,https://randomuser.me/api/portraits/women/72.jpg,1714996158,,,,,,,
bofromnorway,Bo Brudevoll,"bo.brudevoll@example.com
",enigma,23180632,Norway,"https://randomuser.me/api/portraits/men/17.jpg
",1715246429,,,,,,,
mrlager87,Stanley,"stanley.washington@example.com
",corvette,016973 85726,United Kingdom,,1748289229,,,,,,,
silverstout,Charline Picard,charline.picard@example.com,duckman,05-06-98-30-07,France,https://randomuser.me/api/portraits/women/45.jpg,1739942745,,,,,,,
silversnake874,Priscilla,"priscilla.fox@example.com
",windsurf,,Australia,https://randomuser.me/api/portraits/women/5.jpg,1647551990,,,,,,,
ipabear898,Sheila Rogers,"sheila.rogers@example.com
",jumper,(482) 339-0041,United States,https://randomuser.me/api/portraits/women/21.jpg,1723388085,,,,,,,
brewcat108,Vibha Kouser,vibha.kouser@example.com,astro,8147444873,India,https://randomuser.me/api/portraits/women/27.jpg,1690359120,,,,,,,
frothy-mouse680,rocío,rocio.guerrero@example.com,charlott,932-036-217,Spain,,1737215332,,,,,,,
